movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,keywords,id,poster_path,comb
Lucy,Luc Besson,Scarlett Johansson,Morgan Freeman,Choi Min-sik,Action Science Fiction,artificial intelligence (a.i.) telepathy intelligence drug mule time travel telekinesis futuristic drugs super power tough girl surgery brain capacity synthetic drug human brain,240832,/kRbpUTRNm6QbLQFPFWUcNC4czEm.jpg,luc besson scarlett johansson morgan freeman choi min-sik action science fiction artificial intelligence (a.i.) telepathy intelligence drug mule time travel telekinesis futuristic drugs super power tough girl surgery brain capacity synthetic drug human brain
Fury,David Ayer,Brad Pitt,Shia LaBeouf,Logan Lerman,War Drama Action,hero nazi ambush bravery world war ii heroism tank europe execution battle brutality hatred tank battle 1940s enclosed space beating the odds european theatre tanks,228150,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,david ayer brad pitt shia labeouf logan lerman war drama action hero nazi ambush bravery world war ii heroism tank europe execution battle brutality hatred tank battle 1940s enclosed space beating the odds european theatre tanks
Annabelle,John R. Leonetti,Annabelle Wallis,Ward Horton,Tony Amendola,Horror,prequel evil doll killer doll spirit demon spin off doll demonic possession ghost killer toys toy comes to life the conjuring universe,250546,/yLsuU2P2SpDYFwtZQ7dtfVAf6TE.jpg,john r. leonetti annabelle wallis ward horton tony amendola horror prequel evil doll killer doll spirit demon spin off doll demonic possession ghost killer toys toy comes to life the conjuring universe
Transformers: Age of Extinction,Michael Bay,Mark Wahlberg,Peter Cullen,Stanley Tucci,Science Fiction Action Adventure,sequel alien on the run based on toy giant robot robot metal good vs evil,91314,/jyzrfx2WaeY60kYZpPYepSjGz4S.jpg,michael bay mark wahlberg peter cullen stanley tucci science fiction action adventure sequel alien on the run based on toy giant robot robot metal good vs evil
The Hobbit: The Battle of the Five Armies,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Action Adventure Fantasy,gold corruption based on novel or book orcs elves dwarf mine mountain sequel dragon battle unlikely friendship fantasy world wizard epic battle ring invisibility live action and animation high fantasy sword and sorcery good versus evil creatures dwarves hobbits trolls hobbit armies,122917,/xT98tLqatZPQApyRmlPL12LtiWp.jpg,peter jackson ian mckellen martin freeman richard armitage action adventure fantasy gold corruption based on novel or book orcs elves dwarf mine mountain sequel dragon battle unlikely friendship fantasy world wizard epic battle ring invisibility live action and animation high fantasy sword and sorcery good versus evil creatures dwarves hobbits trolls hobbit armies
Teenage Mutant Ninja Turtles,Jonathan Liebesman,Pete Ploszek,Alan Ritchson,Jeremy Howard,Science Fiction Action Adventure Comedy,new york city van martial arts hero experiment mutation superhero turtle based on comic ninja vigilante terrorism sewer reboot,98566,/azL2ThbJMIkts3ZMt3j1YgBUeDB.jpg,jonathan liebesman pete ploszek alan ritchson jeremy howard science fiction action adventure comedy new york city van martial arts hero experiment mutation superhero turtle based on comic ninja vigilante terrorism sewer reboot
The Hunger Games: Mockingjay - Part 1,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Science Fiction Adventure Thriller,based on novel or book resistance dystopia post-apocalyptic future sequel female protagonist bow and arrow game future war revolt class prejudice human subjugation based on young adult novel,131631,/2hTPkBiXoMmrdtYgHtB9WU5dg80.jpg,francis lawrence jennifer lawrence josh hutcherson liam hemsworth science fiction adventure thriller based on novel or book resistance dystopia post-apocalyptic future sequel female protagonist bow and arrow game future war revolt class prejudice human subjugation based on young adult novel
Edge of Tomorrow,Doug Liman,Tom Cruise,Emily Blunt,Brendan Gleeson,Action Science Fiction,deja vu based on novel or book restart military officer dystopia affectation training alien time loop soldier alien invasion war hero exoskeleton frantic thoughtful somber complex anxious soldiers war intimate understated suspenseful sentimental intense romantic admiring adoring audacious commanding defiant dignified earnest empathetic hopeful sincere 2020s,137113,/uUHvlkLavotfGsNtosDy8ShsIYF.jpg,doug liman tom cruise emily blunt brendan gleeson action science fiction deja vu based on novel or book restart military officer dystopia affectation training alien time loop soldier alien invasion war hero exoskeleton frantic thoughtful somber complex anxious soldiers war intimate understated suspenseful sentimental intense romantic admiring adoring audacious commanding defiant dignified earnest empathetic hopeful sincere 2020s
Taken 3,Olivier Megaton,Liam Neeson,Forest Whitaker,Maggie Grace,Thriller Action,california escape funeral gas station detective bodyguard suspicion of murder golf penthouse apartment morgue car crash sequel confusion murder fugitive on the run shootout police chase explosion foot chase anger group of friends death of mother surveillance camera murder investigation failing marriage ex-husband ex-wife relationship police surveillance wanted man police inspector framed for murder protective father gps money problems elevator prime suspect curious college student rich husband thoughtful ex special forces ex-cia agent unhappy marriage unplanned pregnancy spetsnaz secret hideout innocent suspect lost money father daughter relationship army veteran associates secret investigation homicide investigation russian deep sadness enemy evasion understated mystery honorable stepfather stepdaughter relationship death of ex spy tech outsmart special skills owe money to criminals amused awestruck enthusiastic,260346,/vzvMXMypMq7ieDofKThsxjHj9hn.jpg,olivier megaton liam neeson forest whitaker maggie grace thriller action california escape funeral gas station detective bodyguard suspicion of murder golf penthouse apartment morgue car crash sequel confusion murder fugitive on the run shootout police chase explosion foot chase anger group of friends death of mother surveillance camera murder investigation failing marriage ex-husband ex-wife relationship police surveillance wanted man police inspector framed for murder protective father gps money problems elevator prime suspect curious college student rich husband thoughtful ex special forces ex-cia agent unhappy marriage unplanned pregnancy spetsnaz secret hideout innocent suspect lost money father daughter relationship army veteran associates secret investigation homicide investigation russian deep sadness enemy evasion understated mystery honorable stepfather stepdaughter relationship death of ex spy tech outsmart special skills owe money to criminals amused awestruck enthusiastic
Divergent,Neil Burger,Shailene Woodley,Theo James,Zoë Kravitz,Action Adventure Science Fiction,future based on novel or book dystopia futuristic individuality alternative reality caste system based on young adult novel,157350,/aNh4Q3iuPKDMPi2SL7GgOpiLukX.jpg,neil burger shailene woodley theo james zoë kravitz action adventure science fiction future based on novel or book dystopia futuristic individuality alternative reality caste system based on young adult novel
X-Men: Days of Future Past,Bryan Singer,Hugh Jackman,James McAvoy,Michael Fassbender,Action Adventure Science Fiction,1970s superhero mutant time travel based on comic superhuman storm political intrigue  extinction beast claws aftercreditsstinger duringcreditsstinger changing the past or future dramatic,127585,/tYfijzolzgoMOtegh1Y7j2Enorg.jpg,bryan singer hugh jackman james mcavoy michael fassbender action adventure science fiction 1970s superhero mutant time travel based on comic superhuman storm political intrigue  extinction beast claws aftercreditsstinger duringcreditsstinger changing the past or future dramatic
The Amazing Spider-Man 2,Marc Webb,Andrew Garfield,Emma Stone,Jamie Foxx,Action Adventure Science Fiction,experiment obsession superhero based on comic sequel electrocution super power,102382,/dGjoPttcbKR5VWg1jQuNFB247KL.jpg,marc webb andrew garfield emma stone jamie foxx action adventure science fiction experiment obsession superhero based on comic sequel electrocution super power
Dawn of the Planet of the Apes,Matt Reeves,Andy Serkis,Jason Clarke,Toby Kebbell,Science Fiction Action Drama Thriller,"san francisco, california peace solidarity gorilla intelligence dystopia horse post-apocalyptic future pacifism animal attack colony tank forest sequel woods anthropomorphism dam revenge betrayal golden gate bridge explosion ape scientist orangutan death chimpanzee medical research primate dead horse allegorical sign languages virus plague assassination attempt shocking aggressive murder by gunshot contagion guns soldiers 2030s animal human friendship war cgi-live action hybrid violence against animals war horse intense depressing bitter bold powerful horse riding",119450,/kScdQEwS9jPEdnO23XjGAtaoRcT.jpg,"matt reeves andy serkis jason clarke toby kebbell science fiction action drama thriller san francisco, california peace solidarity gorilla intelligence dystopia horse post-apocalyptic future pacifism animal attack colony tank forest sequel woods anthropomorphism dam revenge betrayal golden gate bridge explosion ape scientist orangutan death chimpanzee medical research primate dead horse allegorical sign languages virus plague assassination attempt shocking aggressive murder by gunshot contagion guns soldiers 2030s animal human friendship war cgi-live action hybrid violence against animals war horse intense depressing bitter bold powerful horse riding"
Predestination,Michael Spierig,Ethan Hawke,Sarah Snook,Noah Taylor,Science Fiction Thriller,mission orphanage pregnancy bomber secret organization time travel bartender time machine intersexuality fate terrorism loner shocking time paradox philosophical intersex temporal agent determinism,206487,/38Xr1JnV1ZcLQ55zmdSp6n475cZ.jpg,michael spierig ethan hawke sarah snook noah taylor science fiction thriller mission orphanage pregnancy bomber secret organization time travel bartender time machine intersexuality fate terrorism loner shocking time paradox philosophical intersex temporal agent determinism
American Sniper,Clint Eastwood,Bradley Cooper,Sienna Miller,Kyle Gallner,War Action,sniper based on novel or book affectation grave biography iraq u.s. navy seal iraq war u.s. soldier u.s. marine mourning 9/11 hard meditative shocking vexed somber pack guns inspirational provocative dramatic suspenseful tense sentimental appreciative disheartening modest powerful tragic,190859,/vJgtfUmZE5i4L12sOryAPuBa04K.jpg,clint eastwood bradley cooper sienna miller kyle gallner war action sniper based on novel or book affectation grave biography iraq u.s. navy seal iraq war u.s. soldier u.s. marine mourning 9/11 hard meditative shocking vexed somber pack guns inspirational provocative dramatic suspenseful tense sentimental appreciative disheartening modest powerful tragic
The Imitation Game,Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,History Drama Thriller War,england homophobia world war ii mathematician genius biography male homosexuality code breaking lgbt logician cryptography math genius gay theme codes intense amused assertive commanding,205596,/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,morten tyldum benedict cumberbatch keira knightley matthew goode history drama thriller war england homophobia world war ii mathematician genius biography male homosexuality code breaking lgbt logician cryptography math genius gay theme codes intense amused assertive commanding
300: Rise of an Empire,Noam Murro,Sullivan Stapleton,Eva Green,Lena Headey,Action Drama War,based on comic sword fight soldier massacre slow motion based on graphic novel ancient greece duringcreditsstinger sea battle hand to hand combat naval warfare ancient warfare sparta greece warriors 5th century bc athenian sword and sandal god king sword and shield,53182,/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg,noam murro sullivan stapleton eva green lena headey action drama war based on comic sword fight soldier massacre slow motion based on graphic novel ancient greece duringcreditsstinger sea battle hand to hand combat naval warfare ancient warfare sparta greece warriors 5th century bc athenian sword and sandal god king sword and shield
The Last: Naruto the Movie,Tsuneo Kobayashi,Junko Takeuchi,Nana Mizuki,Jun Fukuyama,Action Romance Animation,martial arts ninja martial artist shounen anime,317442,/bAQ8O5Uw6FedtlCbJTutenzPVKd.jpg,tsuneo kobayashi junko takeuchi nana mizuki jun fukuyama action romance animation martial arts ninja martial artist shounen anime
Scarlet Innocence,Yim Pil-sung,Jung Woo-sung,Esom,Park So-young,Thriller Drama Romance,loss of eyesight eroticism revenge blind blindness,287649,/ejaHQQKp5J2tD6ubprDMmIRGKnE.jpg,yim pil-sung jung woo-sung esom park so-young thriller drama romance loss of eyesight eroticism revenge blind blindness
Noah,Darren Aronofsky,Russell Crowe,Jennifer Connelly,Ray Winstone,Drama Adventure,genesis fairy tale bible god apocalypse flood old testament noah noah's ark apologetic condescending biblical epic,86834,/trtD17IqSWV9Nbn4OILztc9GuCX.jpg,darren aronofsky russell crowe jennifer connelly ray winstone drama adventure genesis fairy tale bible god apocalypse flood old testament noah noah's ark apologetic condescending biblical epic
Blended,Frank Coraci,Adam Sandler,Drew Barrymore,Kevin Nealon,Comedy Romance,single parent baseball extreme sports safari south africa blind date romcom wildlife wild animal teenage crush family vacation single mother divorcee divorced woman widower single father tomboy death of mother spring break mother figure father figure mother son relationship father daughter relationship african music playful absent father hilarious enthusiastic,232672,/o2YrH9jS7CAfWjETHFeL0tth79E.jpg,frank coraci adam sandler drew barrymore kevin nealon comedy romance single parent baseball extreme sports safari south africa blind date romcom wildlife wild animal teenage crush family vacation single mother divorcee divorced woman widower single father tomboy death of mother spring break mother figure father figure mother son relationship father daughter relationship african music playful absent father hilarious enthusiastic
A Haunted House 2,Michael Tiddes,Marlon Wayans,Jaime Pressly,Essence Atkins,Comedy Horror,exorcism haunted house parody paranormal evil doll spoof horror spoof demonic possession found footage horror parody,184345,/oV7M00fPXy5P0nbdeMbSUjYv0vx.jpg,michael tiddes marlon wayans jaime pressly essence atkins comedy horror exorcism haunted house parody paranormal evil doll spoof horror spoof demonic possession found footage horror parody
Seventh Son,Sergei Bodrov,Jeff Bridges,Julianne Moore,Ben Barnes,Adventure Fantasy,based on novel or book magic chosen one witch hunt dark fantasy evil witch sword and sorcery based on young adult novel,68737,/7Q8DfXSjcFSSQDOxz1Sk865wNqI.jpg,sergei bodrov jeff bridges julianne moore ben barnes adventure fantasy based on novel or book magic chosen one witch hunt dark fantasy evil witch sword and sorcery based on young adult novel
Tinker Bell and the Legend of the NeverBeast,Steve Loter,Ginnifer Goodwin,Mae Whitman,Rosario Dawson,Adventure Animation Family,fairy tale fairy tinkerbell,297270,/3S0mmmpYStB3GqodRghcfOt81wQ.jpg,steve loter ginnifer goodwin mae whitman rosario dawson adventure animation family fairy tale fairy tinkerbell
Captain America: The Winter Soldier,Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Action Adventure Science Fiction,"washington dc, usa superhero shield based on comic aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) political thriller",100402,/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,"joe russo chris evans samuel l. jackson scarlett johansson action adventure science fiction washington dc, usa superhero shield based on comic aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) political thriller"
Obsessed,Kim Dae-woo,Song Seung-heon,Lim Ji-yeon,Cho Yeo-jeong,Drama,vietnam war military base love affair 1960s korean army,269955,/fetCtoAvZShCk1nqAWZFuKZschR.jpg,kim dae-woo song seung-heon lim ji-yeon cho yeo-jeong drama vietnam war military base love affair 1960s korean army
Nightcrawler,Dan Gilroy,Jake Gyllenhaal,Riz Ahmed,Rene Russo,Crime Drama Thriller,"underground psychopath journalism job interview cynicism sociopath murder serial killer crime scene psychological thriller los angeles, california home invasion stakeout newsreel footage character study neo-noir ethics stringer police scanner news business tense ghoulish",242582,/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,"dan gilroy jake gyllenhaal riz ahmed rene russo crime drama thriller underground psychopath journalism job interview cynicism sociopath murder serial killer crime scene psychological thriller los angeles, california home invasion stakeout newsreel footage character study neo-noir ethics stringer police scanner news business tense ghoulish"
The Loft,Erik Van Looy,Karl Urban,James Marsden,Wentworth Miller,Thriller,male friendship murder love affair extramarital affair murder mystery,72784,/6UrNb7sdolnuqxBJ4I8OxTUvTmQ.jpg,erik van looy karl urban james marsden wentworth miller thriller male friendship murder love affair extramarital affair murder mystery
Paddington,Paul King,Ben Whishaw,Hugh Bonneville,Sally Hawkins,Comedy Adventure Family,"london, england based on novel or book peru anthropomorphism bear based on children's book family talking to animals children's book taxidermist live action and animation personification natural history museum",116149,/wpchRGhRhvhtU083PfX2yixXtiw.jpg,"paul king ben whishaw hugh bonneville sally hawkins comedy adventure family london, england based on novel or book peru anthropomorphism bear based on children's book family talking to animals children's book taxidermist live action and animation personification natural history museum"
Guardians of the Galaxy,James Gunn,Chris Pratt,Zoe Saldaña,Dave Bautista,Action Science Fiction Adventure,spacecraft based on comic space orphan adventurer aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu),118340,/jPrJPZKJVhvyJ4DmUTrDgmFN0yG.jpg,james gunn chris pratt zoe saldaña dave bautista action science fiction adventure spacecraft based on comic space orphan adventurer aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu)
Penguins of Madagascar,Simon J. Smith,Tom McGrath,Chris Miller,Christopher Knights,Family Animation Adventure Comedy,rescue wolf octopus spy zoo penguin cartoon villain madagascar anthropomorphism revenge spin off animals talking animal,270946,/gbrNsZ1dOK789NwWPyC0SuEABgr.jpg,simon j. smith tom mcgrath chris miller christopher knights family animation adventure comedy rescue wolf octopus spy zoo penguin cartoon villain madagascar anthropomorphism revenge spin off animals talking animal
The Grand Budapest Hotel,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Comedy Drama,hotel painting wartime affectation eastern europe author gunfight theft bellboy mentor protégé relationship european criterion hotel lobby renaissance painting 1960s 1930s ironic complex loving joyous admiring adoring celebratory cheerful comforting conceited euphoric forceful joyful,120467,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,wes anderson ralph fiennes f. murray abraham mathieu amalric comedy drama hotel painting wartime affectation eastern europe author gunfight theft bellboy mentor protégé relationship european criterion hotel lobby renaissance painting 1960s 1930s ironic complex loving joyous admiring adoring celebratory cheerful comforting conceited euphoric forceful joyful
The Torture Club,Kōta Yoshida,Noriko Kijima,Haruna Yoshizumi,Yuki Mamiya,Drama Comedy,bondage lesbian relationship torture based on manga teenage sexuality bdsm lesbian girls love,297090,/rJQQxeNqf4Cs0NtlftVJyfHDoEc.jpg,kōta yoshida noriko kijima haruna yoshizumi yuki mamiya drama comedy bondage lesbian relationship torture based on manga teenage sexuality bdsm lesbian girls love
The Lego Movie,Phil Lord,Chris Pratt,Elizabeth Banks,Will Ferrell,Animation Family Adventure Comedy Fantasy,friendship parent child relationship prophecy superhero villain based on comic part live action based on toy falling in love anti villain super power good cop bad cop duringcreditsstinger live action and animation lego father son relationship loving mischievous playful irreverent evil tyrant witty hilarious whimsical celebratory euphoric exhilarated exuberant ridiculous,137106,/lbctonEnewCYZ4FYoTZhs8cidAl.jpg,phil lord chris pratt elizabeth banks will ferrell animation family adventure comedy fantasy friendship parent child relationship prophecy superhero villain based on comic part live action based on toy falling in love anti villain super power good cop bad cop duringcreditsstinger live action and animation lego father son relationship loving mischievous playful irreverent evil tyrant witty hilarious whimsical celebratory euphoric exhilarated exuberant ridiculous
Exodus: Gods and Kings,Ridley Scott,Christian Bale,Joel Edgerton,Ben Kingsley,Adventure Drama Action,epic moses bible racism slave ancient egypt old testament angry aggressive ramses bitter apathetic callous mean spirited biblical epic,147441,/uaDj37JtvLan9tihxZ18e6qL33b.jpg,ridley scott christian bale joel edgerton ben kingsley adventure drama action epic moses bible racism slave ancient egypt old testament angry aggressive ramses bitter apathetic callous mean spirited biblical epic
The Babadook,Jennifer Kent,Essie Davis,Noah Wiseman,Hayley McElhinney,Drama Horror,monster nightmare parent child relationship dysfunctional family sleeplessness single mother grieving woman director death of spouse self delusion self created problems behavioral disorders adelaide australia depressing,242224,/qt3fqapeo94TfvMyld8P7gkpXLz.jpg,jennifer kent essie davis noah wiseman hayley mcelhinney drama horror monster nightmare parent child relationship dysfunctional family sleeplessness single mother grieving woman director death of spouse self delusion self created problems behavioral disorders adelaide australia depressing
The Interview,Evan Goldberg,James Franco,Seth Rogen,Lizzy Caplan,Action Comedy,central intelligence agency (cia) socialism coup d'etat assassination attempt evil dictator north korea disdainful disgusted doubtful dubious enthusiastic euphoric frustrated,228967,/tIDC4xT65l7a8qbgg8GvwD5g8c5.jpg,evan goldberg james franco seth rogen lizzy caplan action comedy central intelligence agency (cia) socialism coup d'etat assassination attempt evil dictator north korea disdainful disgusted doubtful dubious enthusiastic euphoric frustrated
RoboCop,José Padilha,Joel Kinnaman,Gary Oldman,Michael Keaton,Science Fiction Action Crime,"future police cyborg dystopia remake detroit, michigan",97020,/gM5ql3BKYmHG3WtZ0buKXN7xY8O.jpg,"josé padilha joel kinnaman gary oldman michael keaton science fiction action crime future police cyborg dystopia remake detroit, michigan"
The Fault in Our Stars,Josh Boone,Shailene Woodley,Ansel Elgort,Nat Wolff,Romance Drama,"based on novel or book support group amsterdam, netherlands cancer valentine's day star crossed lovers teen drama oxygen tank based on young adult novel",222935,/ep7dF4QR4Mm39LI958V0XbwE0hK.jpg,"josh boone shailene woodley ansel elgort nat wolff romance drama based on novel or book support group amsterdam, netherlands cancer valentine's day star crossed lovers teen drama oxygen tank based on young adult novel"
Sin City: A Dame to Kill For,Frank Miller,Jessica Alba,Bruce Willis,Mickey Rourke,Action Crime,detective dystopia dominatrix murder twins based on graphic novel neo-noir,189,/50kALxDX4mmzIRljbNbPY0u4cie.jpg,frank miller jessica alba bruce willis mickey rourke action crime detective dystopia dominatrix murder twins based on graphic novel neo-noir
Under the Skin,Jonathan Glazer,Scarlett Johansson,Jeremy McWilliams,Lynsey Taylor Mackay,Thriller Science Fiction Drama,"based on novel or book scotland edinburgh, scotland alien prowler body snatchers",97370,/55wmcXJIDYITr7JDijJTdvwSaAv.jpg,"jonathan glazer scarlett johansson jeremy mcwilliams lynsey taylor mackay thriller science fiction drama based on novel or book scotland edinburgh, scotland alien prowler body snatchers"
22 Jump Street,Phil Lord,Jonah Hill,Channing Tatum,Peter Stormare,Crime Comedy Action,drug dealer sarcasm college male friendship sequel undercover cop buddy cop buddy comedy aftercreditsstinger duringcreditsstinger based on tv series,187017,/850chzYHYbT3IISl6Q7dbBuFP2B.jpg,phil lord jonah hill channing tatum peter stormare crime comedy action drug dealer sarcasm college male friendship sequel undercover cop buddy cop buddy comedy aftercreditsstinger duringcreditsstinger based on tv series
Godzilla,Gareth Edwards,Aaron Taylor-Johnson,Elizabeth Olsen,Juliette Binoche,Action Drama Science Fiction,"japan monster san francisco, california hawaii giant monster tsunami remake prehistoric creature golden gate bridge dinosaur kaiju honolulu, hawaii disaster movie global threat animal horror godzilla",124905,/zokD6uxR2iWfYM3Y84yGJvnNTK7.jpg,"gareth edwards aaron taylor-johnson elizabeth olsen juliette binoche action drama science fiction japan monster san francisco, california hawaii giant monster tsunami remake prehistoric creature golden gate bridge dinosaur kaiju honolulu, hawaii disaster movie global threat animal horror godzilla"
Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,Michael Keaton,Emma Stone,Zach Galifianakis,Drama Comedy,new york city midlife crisis superhero dark comedy times square marijuana broadway magic realism meditative city life father daughter relationship,194662,/rHUg2AuIuLSIYMYFgavVwqt1jtc.jpg,alejandro gonzález iñárritu michael keaton emma stone zach galifianakis drama comedy new york city midlife crisis superhero dark comedy times square marijuana broadway magic realism meditative city life father daughter relationship
The Expendables 3,Patrick Hughes,Sylvester Stallone,Jason Statham,Harrison Ford,Action Adventure Thriller,central intelligence agency (cia) mercenary rescue mission arms dealer sequel hospital battle sledgehammer revolver prisoner transport fist fight,138103,/ruW3malZtlg66ODfg614dFbXO68.jpg,patrick hughes sylvester stallone jason statham harrison ford action adventure thriller central intelligence agency (cia) mercenary rescue mission arms dealer sequel hospital battle sledgehammer revolver prisoner transport fist fight
PK,Rajkumar Hirani,Aamir Khan,Anushka Sharma,Saurabh Shukla,Comedy Drama Science Fiction,friendship society christianity hinduism islam satire alien love religion sociology belief in god islamophobia pakistan vs india sikhism jainism religious satire,297222,/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg,rajkumar hirani aamir khan anushka sharma saurabh shukla comedy drama science fiction friendship society christianity hinduism islam satire alien love religion sociology belief in god islamophobia pakistan vs india sikhism jainism religious satire
Need for Speed,Scott Waugh,Aaron Paul,Dominic Cooper,Imogen Poots,Action Crime Drama Thriller,competition street race money super speed based on video game driver duringcreditsstinger grand,136797,/z42kyMizgDKetejusZgucSQsQ4l.jpg,scott waugh aaron paul dominic cooper imogen poots action crime drama thriller competition street race money super speed based on video game driver duringcreditsstinger grand
"Men, Women & Children",Jason Reitman,Adam Sandler,Jennifer Garner,Rosemarie DeWitt,Drama Comedy,high school overprotective parent self image,243684,/dzFHIxCcvq2CZVFCsgz7n1z5oIM.jpg,jason reitman adam sandler jennifer garner rosemarie dewitt drama comedy high school overprotective parent self image
Love Affair,Kim Jung-hwan,Han Se-Ah,Jeon Ju-ho,Jung Wook,Drama Romance,eroticism love affair,302945,/5nGRaQV5MoVs2AGUP3qyf3BXuuz.jpg,kim jung-hwan han se-ah jeon ju-ho jung wook drama romance eroticism love affair
The Taking of Deborah Logan,Adam Robitel,Jill Larson,Anne Ramsay,Michelle Ang,Horror Mystery,snake possession serial killer found footage,297608,/77i7EBUyQKOUiZeYQ5tWDGQb0AI.jpg,adam robitel jill larson anne ramsay michelle ang horror mystery snake possession serial killer found footage
Sex Tape,Jake Kasdan,Cameron Diaz,Jason Segel,Rob Corddry,Comedy,marriage internet relationship family sex tape,225886,/pFdS7SIdjcrYXtf141dabWVly9B.jpg,jake kasdan cameron diaz jason segel rob corddry comedy marriage internet relationship family sex tape
Young Mother 2,Noh Seong-soo,Cha Soon-hyeong,Ahn So-yoon,Lee Ha-roo,Drama Romance,softcore,276126,/4cKnB9YbAKgM028qd5ok5hf9nrF.jpg,noh seong-soo cha soon-hyeong ahn so-yoon lee ha-roo drama romance softcore
Tinker Bell and the Pirate Fairy,Peggy Holmes,Mae Whitman,Christina Hendricks,Tom Hiddleston,Animation Family,fairy tale fairy pirate curiosity duringcreditsstinger woman director,175112,/81oxrsugqqs8sAVNX9fdlz57cVU.jpg,peggy holmes mae whitman christina hendricks tom hiddleston animation family fairy tale fairy pirate curiosity duringcreditsstinger woman director
E N V O Y,David Weinstein,Elijah Allan-Blitz,Paul Thomas Arnold,Will Spencer,Science Fiction,robot,313893,/aFwXw3rGizINp77yKe9hAzftVzz.jpg,david weinstein elijah allan-blitz paul thomas arnold will spencer science fiction robot
The Book of Life,Jorge R. Gutierrez,Diego Luna,Channing Tatum,Zoe Saldaña,Animation Adventure Comedy Family Fantasy,mexico bullfighting love triangle afterlife day of the dead overcoming fears,228326,/aotTZos5KswgCryEzx2rlOjFsm1.jpg,jorge r. gutierrez diego luna channing tatum zoe saldaña animation adventure comedy family fantasy mexico bullfighting love triangle afterlife day of the dead overcoming fears
Mr. Peabody & Sherman,Rob Minkoff,Ty Burrell,Max Charles,Ariel Winter,Animation Adventure Family,friendship egypt parent child relationship intelligence adoption time travel child prodigy anthropomorphism talking dog growing up dog first love ancient egypt duringcreditsstinger new school gags trouble time paradox prodigy,82703,/hPcImYndWESKHzT2GHVCDsUxzYg.jpg,rob minkoff ty burrell max charles ariel winter animation adventure family friendship egypt parent child relationship intelligence adoption time travel child prodigy anthropomorphism talking dog growing up dog first love ancient egypt duringcreditsstinger new school gags trouble time paradox prodigy
The Purge: Anarchy,James DeMonaco,Frank Grillo,Carmen Ejogo,Zach Gilford,Horror Thriller,sniper psychopath bus assault rifle machete sequel revenge murder rampage motorcycle masked man death survival horror martyr gatling gun purge cautionary,238636,/qwqHHZLZSUvMkAMQ47ymtfjEifY.jpg,james demonaco frank grillo carmen ejogo zach gilford horror thriller sniper psychopath bus assault rifle machete sequel revenge murder rampage motorcycle masked man death survival horror martyr gatling gun purge cautionary
Annie,Will Gluck,Quvenzhané Wallis,Jamie Foxx,Rose Byrne,Comedy Drama Family,new york city child abuse helicopter musical based on play or musical based on comic billionaire orphan foster sister foster child female child abuser 2010s,196867,/aKAM9V0izx4VhsdyAdBvAB26UCZ.jpg,will gluck quvenzhané wallis jamie foxx rose byrne comedy drama family new york city child abuse helicopter musical based on play or musical based on comic billionaire orphan foster sister foster child female child abuser 2010s
Mushi-Shi: The Shadow That Devours the Sun,Kouichirou Sohtome,Yuto Nakano,Yuuna Watanabe,Rio Sasaki,Animation Fantasy Mystery,detective supernatural slice of life based on manga folklore seinen youkai japanese mythology anime tv special mystery adventure,1225767,/mCdT4GCPLDvgc1WNZDM3HKboAqg.jpg,kouichirou sohtome yuto nakano yuuna watanabe rio sasaki animation fantasy mystery detective supernatural slice of life based on manga folklore seinen youkai japanese mythology anime tv special mystery adventure
A Walk Among the Tombstones,Scott Frank,Liam Neeson,Dan Stevens,David Harbour,Crime Drama Mystery Thriller,new york city based on novel or book murder private investigator mafia drugs alcoholic kingpin wife murder 1990s,169917,/euPgyPsiNFp6gOBB7nUFxvN5ZaY.jpg,scott frank liam neeson dan stevens david harbour crime drama mystery thriller new york city based on novel or book murder private investigator mafia drugs alcoholic kingpin wife murder 1990s
"Love, Rosie",Christian Ditter,Lily Collins,Sam Claflin,Christian Cooke,Romance Drama Comedy,friendship based on novel or book love best friend valentine's day teenage pregnancy friends in love missed opportunity,200727,/8Mf9GgyNv5jjLAAPGsom9skH2Du.jpg,christian ditter lily collins sam claflin christian cooke romance drama comedy friendship based on novel or book love best friend valentine's day teenage pregnancy friends in love missed opportunity
