movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,keywords,id,poster_path,comb
Sandwich,Jao Daniel Elamparo,Katrina Dovey,Luke Selby,Nico Locco,Drama,pandemic covid-19,1075515,/aHCwT1InO29aFibhmONnpJnjaj8.jpg,jao daniel elamparo katrina dovey luke selby nico locco drama pandemic covid-19
Through My Window: Across the Sea,Marçal Forés,Clara Galle,Julio Peña,Guillermo Lasheras,Romance Drama Comedy,based on novel or book sequel real life young couple love problems,988078,/6GyzbZf1MsXfrDWTnNXrzwr6G9q.jpg,marçal forés clara galle julio peña guillermo lasheras romance drama comedy based on novel or book sequel real life young couple love problems
In Flames,Zarrar Kahn,Ramesha Nawal,Bakhtawar Mazhar,Omar Javaid,Drama Horror,urdu horror drama suspense thriller,1111867,/ckvYipZZ3VLz2nPuqxJ8RSRfbm8.jpg,zarrar kahn ramesha nawal bakhtawar mazhar omar javaid drama horror urdu horror drama suspense thriller
Couple Exchange,Jang Kwon,Min Jo-ah,Do Hee,Min Do-yoon,Romance,couple softcore nudity,1234720,/7WFlsCBnVyVfJxZWprAkU4poCaJ.jpg,jang kwon min jo-ah do hee min do-yoon romance couple softcore nudity
Dear David,Lucky Kuswandi,Shenina Cinnamon,Emir Mahira,Caitlin North Lewis,Drama Romance Fantasy,high school bullying love student,1059372,/Ab1OedAN42deqjIkOu7X94nJwkG.jpg,lucky kuswandi shenina cinnamon emir mahira caitlin north lewis drama romance fantasy high school bullying love student
The Mistress,Greg Pritikin,John Magaro,Chasten Harmon,Kat Cunning,Horror Thriller,,1094713,/1kdmre0wlUAUk9BvySv4Xoveieg.jpg,greg pritikin john magaro chasten harmon kat cunning horror thriller
Freelance,Pierre Morel,John Cena,Alison Brie,Juan Pablo Raba,Action Comedy,coup d'etat dictatorship political assassination duringcreditsstinger investigative journalism ex special forces fictional city bitter straightforward,897087,/7Bd4EUOqQDKZXA6Od5gkfzRNb0.jpg,pierre morel john cena alison brie juan pablo raba action comedy coup d'etat dictatorship political assassination duringcreditsstinger investigative journalism ex special forces fictional city bitter straightforward
Humanist Vampire Seeking Consenting Suicidal Person,Ariane Louis-Seize,Sara Montpetit,Félix-Antoine Bénard,Steve Laplante,Romance Comedy Fantasy Horror,"friendship suicide suicide attempt vampire bite hunger bloodthirstiness quebec moral conflict bullying montreal, canada coming of age bully revenge relationship compassion will teeth macabre suicide thoughts forced unlikely friendship teen suicide blood sucking starving woman director bullied revenge killing moral dilemma humanity canine improbable friendship drinking blood boy meets girl humanism consent forced to kill human vampire relationship boy girl relationship playful french canadian night reluctant vampire blood teenager absurd revenge for bullying take revenge whimsical compassionate earnest",988402,/m5OItLBY5T38ew1YI4VSIXjl5G2.jpg,"ariane louis-seize sara montpetit félix-antoine bénard steve laplante romance comedy fantasy horror friendship suicide suicide attempt vampire bite hunger bloodthirstiness quebec moral conflict bullying montreal, canada coming of age bully revenge relationship compassion will teeth macabre suicide thoughts forced unlikely friendship teen suicide blood sucking starving woman director bullied revenge killing moral dilemma humanity canine improbable friendship drinking blood boy meets girl humanism consent forced to kill human vampire relationship boy girl relationship playful french canadian night reluctant vampire blood teenager absurd revenge for bullying take revenge whimsical compassionate earnest"
Mantra Warrior: The Legend of The Eight Moons,Jinanavin Veerapatra,Ranee Campen,Tachaya Pathumwan,Sorawit Tongteng,Animation Action Adventure Fantasy Science Fiction,hero moon armor superhero villain ramayana warrior supervillain war 3d animation,1134424,/sQE0VegwDa0GHjawfNRr1sFgVE2.jpg,jinanavin veerapatra ranee campen tachaya pathumwan sorawit tongteng animation action adventure fantasy science fiction hero moon armor superhero villain ramayana warrior supervillain war 3d animation
Burning Betrayal,Diego Freitas,Giovanna Lancellotti,Leandro Lima,Camilla de Lucas,Drama Mystery Romance,based on novel or book,1173558,/3MxgXI3VO7QCNnP0mPBjxLIemNM.jpg,diego freitas giovanna lancellotti leandro lima camilla de lucas drama mystery romance based on novel or book
